Year	38	1860
Year	38	1870
Year	38	9002
Year	37	1210
Year	37	1317
Year	37	1330
Year	37	1454
Year	37	1755
Year	37	1821
Year	37	1893
Year	37	1916
Year	36	0915
Year	36	1136
Year	36	1243
Year	36	1245
Year	36	1430
Year	36	1445
Year	36	1447
Year	36	1451
Year	36	1496
Year	36	1498
Year	36	1899
Year	35	1203
Year	35	1306
Year	35	1421
Year	35	1449
Year	35	1455
Year	35	1494
Year	35	1495
Year	35	1824
Year	35	2600
Year	35	5312
Year	35	9900
Year	34	0912
Year	34	1004
Year	34	1240
Year	34	1253
Year	34	1382
Year	34	1408
Year	34	1512
Year	34	7341
Year	33	1056
Year	33	1141
Year	33	1206
Year	33	1327
Year	33	1513
Year	33	2032
Year	32	1238
Year	32	1280
Year	32	1315
Year	32	1333
Year	32	1448
Year	32	1462
Year	32	1525
Year	32	1763
Year	32	1765
Year	32	1872
Year	32	1886
Year	32	1896
Year	32	2410
Year	32	2423
Year	32	3512
Year	32	7118
Year	32	8319
Year	31	1202
Year	31	1239
Year	31	1309
Year	31	1312
Year	31	1390
Year	31	1816
Year	31	2112
Year	31	6105
Year	31	6944
Year	31	9006
Year	30	0600
Year	30	1103
Year	30	1105
Year	30	1106
Year	30	1142
Year	30	1178
Year	30	1242
Year	30	1308
Year	30	1446
Year	30	2362
Year	30	7970
Year	29	0306
Year	29	1050
Year	29	1092
Year	29	1159
Year	29	1171
Year	29	1249
Year	29	1311
Year	29	1491
Year	29	1511
Year	29	1551
Year	29	1904
Year	29	2200
Year	29	2620
Year	28	1119
Year	28	1460
Year	28	1605
Year	28	1894
Year	28	2560
Year	28	2651
Year	28	2910
Year	27	1007
Year	27	1055
Year	27	1108
Year	27	1113
Year	27	1132
Year	27	1204
Year	27	1246
Year	27	1247
Year	27	1251
Year	27	1252
Year	27	1412
Year	27	1414
Year	27	1441
Year	27	1458
Year	27	1471
Year	27	1530
Year	27	1614
Year	27	1847
Year	27	2019
Year	27	2033
Year	27	3220
Year	27	3460
Year	27	7624
Year	26	1126
Year	26	1208
Year	26	1214
Year	26	1237
Year	26	1303
Year	26	1316
Year	26	1331
Year	26	1406
Year	26	1489
Year	26	1493
Year	26	1516
Year	26	1533
Year	26	1891
Year	26	2023
Year	26	2219
Year	25	1123
Year	25	1125
Year	25	1209
Year	25	1244
Year	25	1431
Year	25	1439
Year	25	1473
Year	25	1527
Year	25	1610
Year	25	1744
Year	25	1767
Year	25	1777
Year	25	1780
Year	25	1802
Year	25	1848
Year	25	1903
Year	25	2121
Year	25	4444
Year	24	1120
Year	24	1320
Year	24	1370
Year	24	1379
Year	24	1410
Year	24	1461
Year	24	1463
Year	24	1534
Year	24	1818
Year	24	1898
Year	24	2145
Year	23	1117
Year	23	1151
Year	23	1158
Year	23	1213
Year	23	1256
Year	23	1338
Year	23	1372
Year	23	1407
Year	23	1419
Year	23	1420
Year	23	1510
Year	23	1607
Year	23	1620
Year	23	1707
Year	23	1751
Year	23	1775
